file_name,caption,question,choice,A,B,C,D,answer,interpretation,class
Untitled 18.png,They illuminated the room with the lamp.,"Someone told you, ""They illuminated the room with the lamp."" From the image I offered to you, Can you infer what does illuminate the room?",Select the most suitable option for the question from the following choices.,The star,The sun,The lamp,The LED,C,,Complement modifies different part
Untitled 19.png,They illuminated the room with the lamp.,"Someone told you, ""They illuminated the room with the lamp."" From the image I offered to you, Can you infer what does illuminate the room?",Select the most suitable option for the question from the following choices.,The star,The sun,The lamp,The LED,B,,Complement modifies different part
Untitled 20.png,She saw the man with the telescope.,"Someone told you, ""She saw the man with the telescope."" From the image I offered to you, Can you infer who does hold the telescope?",Select the most suitable option for the question from the following choices.,She,He,Me,You,A,,Complement modifies different part
Untitled 21.png,She saw the man with the telescope.,"Someone told you, ""She saw the man with the telescope."" From the image I offered to you, Can you infer who does hold the telescope?",Select the most suitable option for the question from the following choices.,She,He,Me,You,B,,Complement modifies different part
Untitled 22.png,He found the keys with the flashlight.,"Someone told you, ""He found the keys with the flashlight."" From the image I offered to you, Can you infer what does he find?",Select the most suitable option for the question from the following choices.,Not specific,Only key,Only flashlight,Key and flashlight,B,,Complement modifies different part
Untitled 23.png,He found the keys with the flashlight.,"Someone told you, ""He found the keys with the flashlight."" From the image I offered to you, Can you infer what does he find?",Select the most suitable option for the question from the following choices.,Not specific,Only key,Only flashlight,Key and flashlight,D,,Complement modifies different part
Untitled 24.png,The silver cars and motorcycles raced down the track.,"Someone told you, ""The silver cars and motorcycles raced down the track."" From the image I offered to you, Can you infer what color is the motorcycles?",Select the most suitable option for the question from the following choices.,Silver,Black,White,Yellow,A,,Adjectives modify different objects
Untitled 25.png,The silver cars and motorcycles raced down the track.,"Someone told you, ""The silver cars and motorcycles raced down the track."" From the image I offered to you, Can you infer what color is the motorcycles?",Select the most suitable option for the question from the following choices.,Silver,Black,White,Yellow,D,,Adjectives modify different objects
Untitled 26.png,The lit lamp and chandelier,"Someone told you, ""Look at the lit lamp and chandelier."" From the image I offered to you, Can you infer which state is the chandelier?",Select the most suitable option for the question from the following choices.,Not lit,Lit,Not specific,Broken,B,,Adjectives modify different objects
Untitled 27.png,The lit lamp and chandelier,"Someone told you, ""Look at the lit lamp and chandelier."" From the image I offered to you, Can you infer which state is the chandelier?",Select the most suitable option for the question from the following choices.,Not lit,Lit,Not specific,Broken,A,,Adjectives modify different objects
Untitled 28.png,The smiling boy and girl,"Someone told you, ""Look at the smile boy and girl."" From the image I offered to you, Can you infer which state is the girl?",Select the most suitable option for the question from the following choices.,Smile,Cry,Scream,Run,A,,Adjectives modify different objects
Untitled 29.png,The smiling boy and girl,"Someone told you, ""Look at the smile boy and girl."" From the image I offered to you, Can you infer which state is the girl?",Select the most suitable option for the question from the following choices.,Smile,Cry,Scream,Run,B,,Adjectives modify different objects
Untitled 30.png,The large bear and panda,"Someone told you, ""Look at the large bear and panda."" From the image I offered to you, Can you infer the size of the bear and the panda.?",Select the most suitable option for the question from the following choices.,"The bear is small, the panda is large","The bear is small, the panda is small","The bear is large, the panda is large","The bear is large, the panda is small",C,,Adjectives modify different objects
Untitled 31.png,The large bear and panda,"Someone told you, ""Look at the large bear and panda."" From the image I offered to you, Can you infer the size of the bear and the panda.?",Select the most suitable option for the question from the following choices.,"The bear is small, the panda is large","The bear is small, the panda is small","The bear is large, the panda is large","The bear is large, the panda is small",D,,Adjectives modify different objects
Untitled 32.png,The ripe apples and mangos,"Someone told you, ""Look at the ripe apples and mangos."" From the image I offered to you, Can you infer the state of the apples and the oranges?",Select the most suitable option for the question from the following choices.,The apples are ripe and the mangos are ripe,The apples are ripe and the mangos are not ripe,The apples are not ripe and the mangos are not ripe,The apples are ripe and the mangos are not ripe,A,,Adjectives modify different objects
Untitled 33.png,The ripe apples and mangos,"Someone told you, ""Look at the ripe apples and mangos."" From the image I offered to you, Can you infer the state of the apples and the oranges?",Select the most suitable option for the question from the following choices.,The apples are ripe and the mangos are ripe,The apples are ripe and the mangos are not ripe,The apples are not ripe and the mangos are not ripe,The apples are ripe and the mangos are not ripe,B,,Adjectives modify different objects
Untitled 34.png,The fat actors and actresses,"Someone told you, ""Look at the fat actor and actress."" From the image I offered to you, Can you infer the state of the actor and the actoress?",Select the most suitable option for the question from the following choices.,The actor is thin and the actress is thin,The actor is thin and the actress is thin,The actor is fat and the actress is thin,The actor is fat and the actress is fat,D,,Adjectives modify different objects
Untitled 35.png,The fat actors and actresses,"Someone told you, ""Look at the fat actor and actress."" From the image I offered to you, Can you infer the state of the actor and the actoress?",Select the most suitable option for the question from the following choices.,The actor is thin and the actress is thin,The actor is thin and the actress is thin,The actor is fat and the actress is thin,The actor is fat and the actress is fat,C,,Adjectives modify different objects
Untitled 36.png,The brand new pen and note,"Someone told you, ""Look at the brand new pen and note."" From the image I offered to you, Can you infer the state of the pen and the note?",Select the most suitable option for the question from the following choices.,The note is used and the pen is used,The note is brand new and the pen is used,The note is brand new and the pen is brand new,The note is used and the pen is brand new,C,,Adjectives modify different objects
Untitled 37.png,The brand new pen and note,"Someone told you, ""Look at the brand new pen and note."" From the image I offered to you, Can you infer the state of the pen and the note?",Select the most suitable option for the question from the following choices.,The note is used and the pen is used,The note is brand new and the pen is used,The note is brand new and the pen is brand new,The note is used and the pen is brand new,D,,Adjectives modify different objects
Untitled 38.png,The expensive watches and jewelry,"Someone told you, ""Look at the expensive watch and jewelry."" From the image I offered to you, Can you infer the price of the watch and the the jewelry?",Select the most suitable option for the question from the following choices.,The watch is expensive and the jewelry is cheap,The watch is expensive and the jewelry is expensive,The watch is cheap and the jewelry is expensive,The watch is cheap and the jewelry is cheap,B,,Adjectives modify different objects
Untitled 39.png,The expensive watches and jewelry,"Someone told you, ""Look at the expensive watch and jewelry."" From the image I offered to you, Can you infer the price of the watch and the the jewelry?",Select the most suitable option for the question from the following choices.,The watch is expensive and the jewelry is cheap,The watch is expensive and the jewelry is expensive,The watch is cheap and the jewelry is expensive,The watch is cheap and the jewelry is cheap,C,,Adjectives modify different objects
Untitled 40.png,The long essays and reports were assigned by the teacher.,"Someone told you, ""Look at the long essay and report were assigned by the teacher."" From the image I offered to you, Can you infer the length requirement of the report and the essay? (Short means less than 2 pages.)",Select the most suitable option for the question from the following choices.,The report is short and the essay is long,The report is short and the essay is short,The report is long  and the essay is short,The report is long  and the essay is long,D,,Adjectives modify different objects
Untitled 41.png,The long essays and reports were assigned by the teacher.,"Someone told you, ""Look at the long essay and report were assigned by the teacher."" From the image I offered to you, Can you infer the length requirement of the report and the essay? (Short means less than 2 pages.)",Select the most suitable option for the question from the following choices.,The report is short and the essay is long,The report is short and the essay is short,The report is long  and the essay is short,The report is long  and the essay is long,A,,Adjectives modify different objects
Untitled 42.png,The tall tower and building,"Someone told you, ""Look at the tall tower and building."" From the image I offered to you, Can you infer the height of the tower and the building? (tall means higher than 10m)",Select the most suitable option for the question from the following choices.,The tower is tall and the building is tall,The tower is tall and the building is short,The tower is short and the building is short,The tower is tall and the building is long,A,,Adjectives modify different objects
Untitled 43.png,The tall tower and building,"Someone told you, ""Look at the tall tower and building."" From the image I offered to you, Can you infer the height of the tower and the building? (tall means higher than 10m)",Select the most suitable option for the question from the following choices.,The tower is tall and the building is tall,The tower is tall and the building is short,The tower is short and the building is short,The tower is tall and the building is long,B,,Adjectives modify different objects
Untitled 44.png,Alice and Bob are married,"Someone told you, ""Alice and Bob are married."" From the image I offered to you, What can you infer about Alice and Bob?",Select the most suitable option for the question from the following choices.,Alice is married wth Bob,Alice and Bob each married someone else,Alice is not married and Bob is not married,Not specific,A,,Who does take the action
Untitled 45.png,Alice and Bob are married,"Someone told you, ""Alice and Bob are married."" From the image I offered to you, What can you infer about Alice and Bob?",Select the most suitable option for the question from the following choices.,Alice is married wth Bob,Alice and Bob each married someone else,Alice is not married and Bob is not married,Not specific,B,,Who does take the action
Untitled 46.png,Max and Lucy are dancing,"Someone told you, ""Max and Lucy are dancing."" From the image I offered to you, What can you infer about Max and Lucy?",Select the most suitable option for the question from the following choices.,Max is not dancing and Lucy is not dancing,Max and Lucy are dancing with each other respectively,Max is dancing wth another and Lucy is dancing with the other guy,Not specific,B,,Who does take the action
Untitled 47.png,Max and Lucy are dancing,"Someone told you, ""Max and Lucy are dancing."" From the image I offered to you, What can you infer about Max and Lucy?",Select the most suitable option for the question from the following choices.,Max is not dancing and Lucy is not dancing,Max and Lucy are dancing with each other respectively,Max is dancing wth another and Lucy is dancing with the other guy,Not specific,C,,Who does take the action
Untitled 48.png,The children are building a sandcastle,"Someone told you, ""The children are building a sandcastle."" From the image I offered to you, What can you infer about the children?",Select the most suitable option for the question from the following choices.,Not specific.,These children are building the different sandcastle respectively,These children are building the same sandcastle,These children are not doing anything relevant to building sandcastle,C,,Who does take the action
Untitled 49.png,The children are building a sandcastle,"Someone told you, ""The children are building a sandcastle."" From the image I offered to you, What can you infer about the children?",Select the most suitable option for the question from the following choices.,Not specific.,These children are building the different sandcastle respectively,These children are building the same sandcastle,These children are not doing anything relevant to building sandcastle,B,,Who does take the action
Untitled 50.png,Carlos and Atiyah are fighting,"Someone told you, ""Carlos and Atiyah are fighting."" From the image I offered to you, What can you infer about Carlos and Atiyah?",Select the most suitable option for the question from the following choices.,Carlos and Atiyah are fighting with each other,Not specific,Carlos and Atiyah are fighting with other guys respectively,Carlos and Atiyah are not fighting.,A,,Who does take the action
Untitled 51.png,Carlos and Atiyah are fighting,"Someone told you, ""Carlos and Atiyah are fighting."" From the image I offered to you, What can you infer about Carlos and Atiyah?",Select the most suitable option for the question from the following choices.,Carlos and Atiyah are fighting with each other,Not specific,Carlos and Atiyah are fighting with other guys respectively,Carlos and Atiyah are not fighting.,C,,Who does take the action
Untitled 52.png,Roses and James are arguing.,"Someone told you, ""Roses and James are arguing."" From the image I offered to you, What can you infer about Roses and James?",Select the most suitable option for the question from the following choices.,Roses and James are arguing with each other,Roses and James are arguing with others respectively,Not specific,Roses and James are not arguing.,B,,Who does take the action
Untitled 53.png,Roses and James are arguing.,"Someone told you, ""Roses and James are arguing."" From the image I offered to you, What can you infer about Roses and James?",Select the most suitable option for the question from the following choices.,Roses and James are arguing with each other,Roses and James are arguing with others respectively,Not specific,Roses and James are not arguing.,A,,Who does take the action
Untitled 54.png,Chris and Pat are playing chess,"Someone told you, ""Chris and Pat are playing chess."" From the image I offered to you, What can you infer about Chris and Pat?",Select the most suitable option for the question from the following choices.,Chris and Pat are not playing chess,Chris and Pat are playing chess with others respectively,Chris and Pat are playing chess with each other,Not specific,C,,Who does take the action
Untitled 55.png,Chris and Pat are playing chess,"Someone told you, ""Chris and Pat are playing chess."" From the image I offered to you, What can you infer about Chris and Pat?",Select the most suitable option for the question from the following choices.,Chris and Pat are not playing chess,Chris and Pat are playing chess with others respectively,Chris and Pat are playing chess with each other,Not specific,B,,Who does take the action
Untitled 56.png,The cat and dog are sleeping on the couch.,"Someone told you, ""The cat and dog are sleeping on the couch."" From the image I offered to you, What can you infer about the cat and the dog?",Select the most suitable option for the question from the following choices.,The cat and the dog are sleeping on the same couch.,The cat and the dog are sleeping on the different couchs.,The cat and the dog are not sleeping.,Not specific.,A,,Who does take the action
Untitled 57.png,The cat and dog are sleeping on the couch.,"Someone told you, ""The cat and dog are sleeping on the couch."" From the image I offered to you, What can you infer about the cat and the dog?",Select the most suitable option for the question from the following choices.,The cat and the dog are sleeping on the same couch.,The cat and the dog are sleeping on the different couchs.,The cat and the dog are not sleeping.,Not specific.,B,,Who does take the action
Untitled 58.png,The red and blue cars are parked in the garage.,"Someone told you, ""The red and blue cars are parked in the garage."" From the image I offered to you, What can you infer about the cars?",Select the most suitable option for the question from the following choices.,Not specific.,There are two cars parked in the garage: one is painted red and the other is painted blue.,"There are two cars, each painted both red and blue, parked in the garage.",There are no car in the garage.,C,,Who does take the action
Untitled 59.png,The red and blue cars are parked in the garage.,"Someone told you, ""The red and blue cars are parked in the garage."" From the image I offered to you, What can you infer about the cars?",Select the most suitable option for the question from the following choices.,Not specific.,There are two cars parked in the garage: one is painted red and the other is painted blue.,"There are two cars, each painted both red and blue, parked in the garage.",There are no car in the garage.,B,,Who does take the action
Untitled 60.png,The laptop and phone are charging on the desk.,"Someone told you, ""The laptop and phone are charging on the desk."" From the image I offered to you, What can you infer about the laptop and the phone?",Select the most suitable option for the question from the following choices.,Not specific.,The laptop and the phone are not charging.,The laptop is charging on one desk while the phone is charging on a different desk.,The laptop and phone are charging next to each other on the same desk.,D,,Who does take the action
Untitled 61.png,The laptop and phone are charging on the desk.,"Someone told you, ""The laptop and phone are charging on the desk."" From the image I offered to you, What can you infer about the laptop and the phone?",Select the most suitable option for the question from the following choices.,Not specific.,The laptop and the phone are not charging.,The laptop is charging on one desk while the phone is charging on a different desk.,The laptop and phone are charging next to each other on the same desk.,C,,Who does take the action
Untitled 62.png,The sun and moon are visible in the sky.,"Someone told you, ""The sun and moon are visible in the sky."" From the image I offered to you, What can you infer about the sun and the moon?",Select the most suitable option for the question from the following choices.,The sun and moon are both visible in the sky at the same time.,Neither the sun nor the moon is visible.,"The sun is visible in the sky during the day, while the moon is visible in the sky at night.",Not specific.,A,,Who does take the action
Untitled 63.png,The sun and moon are visible in the sky.,"Someone told you, ""The sun and moon are visible in the sky."" From the image I offered to you, What can you infer about the sun and the moon?",Select the most suitable option for the question from the following choices.,The sun and moon are both visible in the sky at the same time.,Neither the sun nor the moon is visible.,"The sun is visible in the sky during the day, while the moon is visible in the sky at night.",Not specific.,C,,Who does take the action
Untitled 64.png,The printer and scanner are located in the office.,"Someone told you, ""The printer and scanner are located in the office."" From the image I offered to you, What can you infer about the laptop and the phone?",Select the most suitable option for the question from the following choices.,There is a printer and a separate scanner both located in the office.,Not specific.,There is neither a printer nor a scanner in the office.,There is one device that functions as both a printer and a scanner located in the offic,D,,Who does take the action
Untitled 65.png,The printer and scanner are located in the office.,"Someone told you, ""The printer and scanner are located in the office."" From the image I offered to you, What can you infer about the laptop and the phone?",Select the most suitable option for the question from the following choices.,There is a printer and a separate scanner both located in the office.,Not specific.,There is neither a printer nor a scanner in the office.,There is one device that functions as both a printer and a scanner located in the offic,A,,Who does take the action
Untitled 66.png,Messi and Ronaldo are playing football.,"Someone told you, ""Messi and Ronaldo are playing football."" From the image I offered to you, What can you infer about Messi and Ronaldo?",Select the most suitable option for the question from the following choices.,"They are on the same football team, playing together.",They are not playing football.,"They are on different football teams, playing against each other.",Not specific.,A,,Who does take the action
Untitled 67.png,Messi and Ronaldo are playing football.,"Someone told you, ""Messi and Ronaldo are playing football."" From the image I offered to you, What can you infer about Messi and Ronaldo?",Select the most suitable option for the question from the following choices.,"They are on the same football team, playing together.",They are not playing football.,"They are on different football teams, playing against each other.",Not specific.,C,,Who does take the action
Untitled 68.png,James and Paul are playing basketball.,"Someone told you, ""James and Paul are playing basketball."" From the image I offered to you, What can you infer about James and Paul?",Select the most suitable option for the question from the following choices.,Not specific.,"They are on the same basketball team, playing together.",They are not playing basketball.,"They are on different basketball teams, playing against each other.",B,,Who does take the action
Untitled 69.png,James and Paul are playing basketball.,"Someone told you, ""James and Paul are playing basketball."" From the image I offered to you, What can you infer about James and Paul?",Select the most suitable option for the question from the following choices.,Not specific.,"They are on the same basketball team, playing together.",They are not playing basketball.,"They are on different basketball teams, playing against each other.",D,,Who does take the action
Untitled 70.png,She's got a green thumb,"Someone told you, ""She's got a green thumb."" From the image provided by image I offered to you, How do you undertand the sentence?",Select the most suitable option for the question from the following choices.,Literal meaning: her thumb is in green color,Extended meaning: She is skilled at gardening and has a natural ability to make plants grow well.,Extended meaning: her thumb is in green color.,Not known.,A,,Literal and Extended Meanings
Untitled 71.png,She's got a green thumb,"Someone told you, ""She's got a green thumb."" From the image I offered to you, How do you undertand the sentence?",Select the most suitable option for the question from the following choices.,Literal meaning: her thumb is in green color,Extended meaning: She is skilled at gardening and has a natural ability to make plants grow well.,Literal meaning: She is skilled at gardening and has a natural ability to make plants grow well.,Not known.,B,,Literal and Extended Meanings
Untitled 72.png,He's putting all his eggs in one basket,"Someone told you, ""He's putting all his eggs in one basket."" From the image I offered to you, How do you undertand the sentence?",Select the most suitable option for the question from the following choices.,Literal meaning: He is placing all his eggs into a single basket,Extended meaning: He is risking everything on a single venture or opportunity.,Literal meaning: He is risking everything on a single venture or opportunity.,Not known.,A,,Literal and Extended Meanings
Untitled 73.png,He's putting all his eggs in one basket,"Someone told you, ""He's putting all his eggs in one basket."" From the image I offered to you, How do you undertand the sentence?",Select the most suitable option for the question from the following choices.,Literal meaning: He is placing all his eggs into a single basket,Extended meaning: He is risking everything on a single venture or opportunity.,Extended meaning: He is placing all his eggs into a single basket.,Not known.,B,,Literal and Extended Meanings
Untitled 74.png,He's burning the midnight oil,"Someone told you, ""He's burning the midnight oil."" From the image I offered to you, How do you undertand the sentence?",Select the most suitable option for the question from the following choices.,Not known.,Extended meaning: She is working late into the night.,Literal meaning: She is setting fire to oil at midnight.,Extended meaning: She is setting fire to oil at midnight.,C,,Literal and Extended Meanings
Untitled 75.png,He's burning the midnight oil,"Someone told you, ""He's burning the midnight oil."" From the image I offered to you, How do you undertand the sentence?",Select the most suitable option for the question from the following choices.,Not known.,Extended meaning: She is working late into the night.,Literal meaning: She is setting fire to oil at midnight.,Literal meaning: She is working late into the night.,B,,Literal and Extended Meanings
Untitled 76.png,The contract is set in stone,"Someone told you, ""The contract is set in stone."" From the image I offered to you, How do you undertand the sentence?",Select the most suitable option for the question from the following choices.,Extended meaning: The contract is physically carved into a stone.,Literal meaning: The contract is physically carved into a stone.,Not known.,"Extended meaning: The contract is fixed, definite, and unchangeable.",B,,Literal and Extended Meanings
Untitled 77.png,The contract is set in stone,"Someone told you, ""The contract is set in stone."" From the image I offered to you, How do you undertand the sentence?",Select the most suitable option for the question from the following choices.,"Literal meaning: The contract is fixed, definite, and unchangeable.",Literal meaning: The contract is physically carved into a stone.,Not known.,"Extended meaning: The contract is fixed, definite, and unchangeable.",D,,Literal and Extended Meanings
Untitled 78.png,The person's hitting the books,"Someone told you, ""The person's hitting the books."" From the image I offered to you, How do you undertand the sentence?",Select the most suitable option for the question from the following choices.,Extended meaning: The person is physically striking books with force.,Extended meaning: The person is studying or learning intensively.,Literal meaning: The person is physically striking books with force.,Not known.,C,,Literal and Extended Meanings
Untitled 79.png,The person's hitting the books,"Someone told you, ""The person's hitting the books."" From the image I offered to you, How do you undertand the sentence?",Select the most suitable option for the question from the following choices.,Literal meaning: The person is studying or learning intensively.,Extended meaning: The person is studying or learning intensively.,Literal meaning: The person is physically striking books with force.,Not known.,B,,Literal and Extended Meanings
Untitled 80.png,He's in the driver's seat,"Someone told you, ""He's in the driver's seat."" From the image I offered to you, How do you undertand the sentence?",Select the most suitable option for the question from the following choices.,Not known.,Literal meaning: He is sitting in the seat designated for the driver of a vehicle.,Extended meaning: He is in control or leading a situation.,Extended meaning: He is sitting in the seat designated for the driver of a vehicle.,B,,Literal and Extended Meanings
Untitled 81.png,He's in the driver's seat,"Someone told you, ""He's in the driver's seat."" From the image I offered to you, How do you undertand the sentence?",Select the most suitable option for the question from the following choices.,Not known.,Literal meaning: He is sitting in the seat designated for the driver of a vehicle.,Extended meaning: He is in control or leading a situation.,Literal meaning: He is in control or leading a situation.,C,,Literal and Extended Meanings
Untitled 82.png,The event is right around the corner,"Someone told you, ""The event is right around the corner."" From the image I offered to you, How do you undertand the sentence?",Select the most suitable option for the question from the following choices.,Literal meaning: The event is located just beyond a nearby corner.,Not known.,Extended meaning: The event is happening very soon or in the near future.,Extended meaning: The event is located just beyond a nearby corner.,A,,Literal and Extended Meanings
Untitled 83.png,The event is right around the corner,"Someone told you, ""The event is right around the corner."" From the image I offered to you, How do you undertand the sentence?",Select the most suitable option for the question from the following choices.,Literal meaning: The event is located just beyond a nearby corner.,Not known.,Extended meaning: The event is happening very soon or in the near future.,Literal meaning: The event is happening very soon or in the near future.,C,,Literal and Extended Meanings
Untitled 84.png,She's got a green light to proceed,"Someone told you, ""She's got a green light to proceed."" From the image I offered to you, How do you undertand the sentence?",Select the most suitable option for the question from the following choices.,Extended meaning: She is facing a traffic light displaying a green signal.,Extended meaning: She has permission or approval to move forward with a plan or action.,Not known.,Literal meaning: She is facing a traffic light displaying a green signal.,D,,Literal and Extended Meanings
Untitled 85.png,She's got a green light to proceed,"Someone told you, ""She's got a green light to proceed."" From the image I offered to you, How do you undertand the sentence?",Select the most suitable option for the question from the following choices.,Literal meaning: She has permission or approval to move forward with a plan or action.,Extended meaning: She has permission or approval to move forward with a plan or action.,Not known.,Literal meaning: She is facing a traffic light displaying a green signal.,B,,Literal and Extended Meanings
Untitled 86.png,She's in hot water,"Someone told you, ""She's in hot water."" From the image I offered to you, How do you undertand the sentence?",Select the most suitable option for the question from the following choices.,Extended meaning: She is immersed in water with a high temperature.,Literal meaning: She is immersed in water with a high temperature.,Extended meaning: She is in trouble or facing difficulties.,Not known.,B,,Literal and Extended Meanings
Untitled 87.png,She's in hot water,"Someone told you, ""She's in hot water."" From the image I offered to you, How do you undertand the sentence?",Select the most suitable option for the question from the following choices.,Literal meaning: She is in trouble or facing difficulties.,Literal meaning: She is immersed in water with a high temperature.,Extended meaning: She is in trouble or facing difficulties.,Not known.,C,,Literal and Extended Meanings
Untitled 88.png,He's hitting the nail on the head,"Someone told you, ""He's hitting the nail on the head."" From the image I offered to you, How do you undertand the sentence?",Select the most suitable option for the question from the following choices.,Not known,Extended meaning: He is striking a nail with a hammer on its head.,Literal meaning: He is striking a nail with a hammer on its head.,Extended meaning: He is making a precise and accurate statement or observation.,C,,Literal and Extended Meanings
Untitled 89.png,He's hitting the nail on the head,"Someone told you, ""He's hitting the nail on the head."" From the image I offered to you, How do you undertand the sentence?",Select the most suitable option for the question from the following choices.,Not known,Literal meaning: He is making a precise and accurate statement or observation.,Literal meaning: He is striking a nail with a hammer on its head.,Extended meaning: He is making a precise and accurate statement or observation.,D,,Literal and Extended Meanings
Untitled 90.png,She's on a slippery slope,"Someone told you, ""She's on a slippery slope."" From the image I offered to you, How do you undertand the sentence?",Select the most suitable option for the question from the following choices.,Literal meaning: She is standing on a sloped surface with low traction.,Not known,Extended meaning: She is standing on a sloped surface with low traction.,Extended meaning: She is in a situation that is likely to lead to further problems or decline.,A,,Literal and Extended Meanings
Untitled 91.png,She's on a slippery slope,"Someone told you, ""She's on a slippery slope."" From the image I offered to you, How do you undertand the sentence?",Select the most suitable option for the question from the following choices.,Literal meaning: She is standing on a sloped surface with low traction.,Not known,Extended meaning: She is standing on a sloped surface with low traction.,Extended meaning: She is in a situation that is likely to lead to further problems or decline.,D,,Literal and Extended Meanings
Untitled 92.png,Hard,"Someone told you, ""It is hard."" From the image I offered to you, Can you explain the meaning ""hard"" here?",Select the most suitable option for the question from the following choices.,"Solid, firm, and rigid; not easily broken, bent, or pierced.",Strongly alcoholic; denoting a spirit rather than beer or wine.,Requiring a great deal of endurance or effort.,"(Of water) Containing relatively high concentrations of dissolved calcium and magnesium salts,",A,,Adjective
Untitled 93.png,Hard,"Someone told you, ""It is hard."" From the image I offered to you, Can you explain the meaning ""hard"" here?",Select the most suitable option for the question from the following choices.,"Solid, firm, and rigid; not easily broken, bent, or pierced.",Strongly alcoholic; denoting a spirit rather than beer or wine.,Requiring a great deal of endurance or effort.,"(Of water) Containing relatively high concentrations of dissolved calcium and magnesium salts,",C,,Adjective
Untitled 94.png,Sharp,"Someone told you, ""It is sharp."" From the image I offered to you, Can you explain the meaning ""sharp"" here?",Select the most suitable option for the question from the following choices.,Distinct in outline or detail; clearly defined.,"Having or showing speed of perception, comprehension, or response.",Having an edge or point that is able to cut or pierce something.,Sudden and marked.,C,,Adjective
